source_region,country,service_name,provider_name,provider_color,care_type,residential_places,address,state,suburb,postcode,organisation_type,remoteness,acpr,lga,county,metro_area,source_dataset,source_status,cms_certification_number,legal_business_name,chain_name,overall_rating,average_residents_per_day,latitude,longitude,funding_2024_25
Australia,Australia,Uniting Annesley Haberfield,The Uniting Church in Australia Property Trust (NSW),#d88d31,Residential,88,"1 Haberfield Road, HABERFIELD, NSW, 2045",NSW,HABERFIELD,2045,Religious,Major Cities of Australia,Inner West,Inner West,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.886473,151.141152,14086596.19
Australia,Australia,Uniting The Marion Leichhardt,The Uniting Church in Australia Property Trust (NSW),#d88d31,Residential,134,"237 Marion Street, LEICHHARDT, NSW, 2040",NSW,LEICHHARDT,2040,Religious,Major Cities of Australia,Inner West,Inner West,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.883619,151.146136,15050438.45
Australia,Australia,Autumn Lodge Hostel,NVC Group Limited,#315ad8,Residential,95,"1-3 Short Street, MACKSVILLE, NSW, 2447",NSW,MACKSVILLE,2447,Community Based,Inner Regional Australia,Mid North Coast,Nambucca Valley,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-30.712147,152.919976999999,8226302.83
Australia,Australia,Whiddon Maclean,The Frank Whiddon Masonic Homes of New South Wales,#7f4fde,Residential,61,"27 Union Street, MACLEAN, NSW, 2463",NSW,MACLEAN,2463,Charitable,Inner Regional Australia,Far North Coast,Clarence Valley,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-29.4543539999999,153.203429999999,7452947.37
Australia,Australia,RFBI Benhome Masonic Village,Royal Freemasons' Benevolent Institution,#c17025,Residential,124,"30 Regent Street, MAITLAND, NSW, 2320",NSW,MAITLAND,2320,Charitable,Major Cities of Australia,Hunter,Maitland,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-32.730085,151.54549,9220460.76
Australia,Australia,Brother Alberts Home,Holy Family Services,#de4f94,Residential,146,"116-132 Quakers Road, MARAYONG, NSW, 2148",NSW,MARAYONG,2148,Charitable,Major Cities of Australia,Western Sydney,Blacktown,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.7425879999999,150.886446,15539158.11
Australia,Australia,Catholic Healthcare St James Villa,Catholic Healthcare Limited,#31a4d8,Residential,40,"60 Lawson Street, MATRAVILLE, NSW, 2036",NSW,MATRAVILLE,2036,Charitable,Major Cities of Australia,South East Sydney,Randwick,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.962974,151.244366,6437086.29
Australia,Australia,Uniting Irwin Hall Mayfield,The Uniting Church in Australia Property Trust (NSW),#d88d31,Residential,38,"13-15 Section Street, MAYFIELD, NSW, 2304",NSW,MAYFIELD,2304,Religious,Major Cities of Australia,Hunter,Newcastle,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-32.895991,151.740498,4113101.87
Australia,Australia,Albert Moore Gardens,RSL LifeCare Limited,#89c125,Residential,68,"10 Short Street, MERIMBULA, NSW, 2548",NSW,MERIMBULA,2548,Community Based,Outer Regional Australia,Southern Highlands,Bega Valley,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-36.892077,149.908476,6765248.5
Australia,Australia,Southern Cross Care John Woodward Residential Aged Care,Southern Cross Care (NSW & ACT) Limited,#d83156,Residential,118,"45 Barcom Street, MERRYLANDS, NSW, 2160",NSW,MERRYLANDS,2160,Religious,Major Cities of Australia,Western Sydney,Cumberland,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.839567,150.970854,13587242.87
Australia,Australia,Juliana Village,Juliana Village Association Ltd,#654fde,Residential,73,"58 Miranda Road, MIRANDA, NSW, 2228",NSW,MIRANDA,2228,Community Based,Major Cities of Australia,South East Sydney,Sutherland,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-34.0367299999999,151.108025999999,6625527.27
